cms_certification_number_ccn,provider_name,provider_address,city_town,state,zip_code,telephone_number,provider_ssa_county_code,county_parish,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,chain_name,chain_id,number_of_facilities_in_chain,chain_average_overall_5_star_rating,chain_average_health_inspection_rating,chain_average_staffing_rating,chain_average_qm_rating,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,long_stay_qm_rating,long_stay_qm_rating_footnote,short_stay_qm_rating,short_stay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,total_number_of_nurse_staff_hours_per_resident_per_day_on_the_weekend,registered_nurse_hours_per_resident_per_day_on_the_weekend,reported_physical_therapist_staffing_hours_per_resident_per_day,total_nursing_staff_turnover,total_nursing_staff_turnover_footnote,registered_nurse_turnover,registered_nurse_turnover_footnote,number_of_administrators_who_have_left_the_nursing_home,administrator_turnover_footnote,nursing_case_mix_index,nursing_case_mix_index_ratio,case_mix_nurse_aide_staffing_hours_per_resident_per_day,case_mix_lpn_staffing_hours_per_resident_per_day,case_mix_rn_staffing_hours_per_resident_per_day,case_mix_total_nurse_staffing_hours_per_resident_per_day,case_mix_weekend_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,adjusted_weekend_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_3_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_3_number_of_complaint_health_deficiencies,rating_cycle_2_3_health_deficiency_score,rating_cycle_2_3_number_of_health_revisits,rating_cycle_2_3_health_revisit_score,rating_cycle_2_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,latitude,longitude,geocoding_footnote,processing_date
505070,LIFE CARE CENTER OF RICHLAND,44 GOETHALS DRIVE,RICHLAND,WA,99352,5099431117,020,Benton,For profit - Corporation,104,65.3,NA,Medicare and Medicaid,N,"RICHLAND MEDICAL INVESTORS, LLC",1979-07-10,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,4,NA,3,NA,2,NA,NA,NA,2.11638,0.77591,0.82611,1.60202,3.7184,3.16461,0.49942,0.07562,55.6,NA,78.6,NA,0,NA,1.54314,1.11702,2.57259,0.96975,0.75704,4.29938,3.80234,1.88428,0.69082,0.73552,3.31061,2.81755,2024-07-17,28,21,11,180,1,0,180,2023-06-14,30,8,22,204,1,0,204,186,18,11,8,3,130310,0,3,"44 GOETHALS DRIVE,RICHLAND,WA,99352",46.2614,-119.28,NA,2025-07-01
505074,PARK MANOR REHABILITATION CTR,1710 PLAZA WAY,WALLA WALLA,WA,99362,5095294218,350,Walla Walla,For profit - Corporation,99,74.5,NA,Medicare and Medicaid,N,MANOR PARK HEALTHCARE LLC,1972-11-01,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.38048,0.48806,1.22232,1.71038,4.09086,3.4097,0.83857,0.22173,NA,26,NA,26,0,NA,1.49368,1.08122,2.49013,0.93867,0.73278,4.16157,3.68046,2.1896,0.44892,1.1243,3.76283,3.13629,2025-03-28,4,4,0,36,1,0,36,2024-02-28,2,1,1,8,1,0,8,29,2,0,1,1,9750,0,1,"1710 PLAZA WAY,WALLA WALLA,WA,99362",46.0475,-118.35,NA,2025-07-01
505075,REGENCY AT THE PARK,1440 SE GARRISON VILLAGE WAY,COLLEGE PLACE,WA,99324,5095294480,350,Walla Walla,For profit - Corporation,106,70,NA,Medicare and Medicaid,N,BD COLLEGE PLACE I LLC,1974-08-01,REGENCY PACIFIC MANAGEMENT,442,27,3.4,3.4,3.5,3.4,N,NA,N,N,N,Resident,Yes,3,NA,3,NA,3,NA,3,NA,4,NA,4,NA,NA,NA,2.68361,0.81317,1.03524,1.84842,4.53202,3.76636,0.44536,0.08038,55.9,NA,55,NA,2,NA,1.40388,1.01622,2.34042,0.88224,0.68872,3.91138,3.45919,2.62631,0.79581,1.01314,4.43527,3.68595,2025-03-04,10,10,0,64,1,0,64,2024-01-18,18,13,7,199,1,0,199,97.75,4,3,2,3,66118.75,1,4,"1440 SE GARRISON VILLAGE WAY,COLLEGE PLACE,WA,99324",46.0437,-118.37,NA,2025-07-01
505080,LIFE CARE CENTER OF KENNEWICK,1508 WEST SEVENTH AVENUE,KENNEWICK,WA,99336,5095869185,020,Benton,For profit - Corporation,136,66.6,NA,Medicare and Medicaid,N,"KENNEWICK MEDICAL INVESTORS, LLC",1974-06-01,LIFE CARE CENTERS OF AMERICA,311,195,3.4,2.9,3.2,4.4,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,5,NA,3,NA,NA,NA,2.27278,0.61581,0.96298,1.57879,3.85157,3.21048,0.64769,0.05483,37.9,NA,47.1,NA,0,NA,1.54416,1.11776,2.57429,0.97039,0.75754,4.30222,3.80485,2.02219,0.54791,0.85681,3.42691,2.8565,2024-08-26,12,6,6,210,1,0,210,2023-06-29,21,4,17,148,1,0,148,194.5,4,16,2,3,67687.75,0,3,"1508 WEST SEVENTH AVENUE,KENNEWICK,WA,99336",46.2022,-119.14,NA,2025-07-01
505081,PACIFIC CARE AND REHABILITATION,3035 CHERRY STREET,HOQUIAM,WA,98550,3605327882,130,Grays Harbor,For profit - Corporation,72,64.6,NA,Medicare and Medicaid,N,"HOQUIAM HEALTHCARE, INC.",1972-05-08,THE ENSIGN GROUP,507,303,3.2,2.9,2.6,4.1,N,NA,N,N,N,Resident,Yes,5,NA,5,NA,5,NA,5,NA,4,NA,4,NA,NA,NA,2.46052,0.96904,0.74989,1.71894,4.17946,3.35242,0.35626,0.20068,27.9,NA,20,NA,0,NA,1.50564,1.08988,2.51008,0.94619,0.73865,4.19491,3.70995,2.24524,0.88426,0.68428,3.81377,3.05909,2024-04-04,3,2,1,12,1,0,12,2023-05-08,5,5,0,20,1,0,20,14,0,2,0,0,0,0,0,"3035 CHERRY STREET,HOQUIAM,WA,98550",46.9769,-123.86,NA,2025-07-01
505085,CRESCENT HEALTH CARE,505 NORTH 40TH AVENUE,YAKIMA,WA,98908,5092484446,380,Yakima,For profit - Corporation,85,49.1,NA,Medicare and Medicaid,N,"CRESCENT HEALTH CARE, INC.",1967-01-01,NA,NA,NA,NA,NA,NA,NA,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,2,NA,1,NA,3,NA,3,NA,NA,NA,2.2803,0.60787,0.70336,1.31123,3.59153,3.21237,0.63002,0,35.4,NA,28.6,NA,0,NA,1.49811,1.08442,2.49751,0.94145,0.73495,4.17391,3.69137,2.09125,0.55747,0.64505,3.29377,2.94605,2024-12-09,20,17,3,132,1,0,132,2023-10-31,16,12,6,100,1,0,100,124,2,7,2,3,172653.78,2,5,"505 NORTH 40TH AVENUE,YAKIMA,WA,98908",46.6052,-120.56,NA,2025-07-01
505086,LANDMARK CARE AND REHABILITATION,710 NORTH 39TH AVENUE,YAKIMA,WA,98902,5092484102,380,Yakima,For profit - Corporation,93,76.1,NA,Medicare and Medicaid,N,HYGATE PROPERTIES INC,1979-01-01,HYATT FAMILY FACILITIES,276,5,2.4,2.4,3.2,3.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,3,NA,5,NA,4,NA,NA,NA,2.65318,0.53443,0.73356,1.268,3.92118,3.37548,0.35788,0.12217,45.8,NA,36.4,NA,0,NA,1.2777,0.92488,2.13006,0.80294,0.62682,3.55982,3.14828,2.85296,0.57468,0.7888,4.21644,3.62966,2024-05-22,27,21,6,160,1,0,160,2023-04-12,20,9,11,191,1,0,191,167.75,4,26,0,2,132702.15,0,2,"710 NORTH 39TH AVENUE,YAKIMA,WA,98902",46.6093,-120.56,NA,2025-07-01
505092,ALDERWOOD PARK HEALTH AND REHAB OF CASCADIA,2726 ALDERWOOD AVENUE,BELLINGHAM,WA,98225,3607332322,360,Whatcom,For profit - Limited Liability company,102,73.1,NA,Medicare and Medicaid,N,BELLINGHAM NORTH OF CASCADIA LLC,1967-01-01,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,N,NA,N,N,N,Resident,Yes,4,NA,3,NA,5,NA,5,NA,5,NA,2,NA,NA,NA,1.97907,0.73866,0.85461,1.59327,3.57234,3.22634,0.48038,0.14692,56.3,NA,44,NA,0,NA,1.63276,1.1819,2.722,1.02607,0.80101,4.54908,4.02317,1.66531,0.62155,0.71912,3.00599,2.71483,2025-02-28,13,11,2,76,1,0,76,2024-03-26,31,13,19,235,1,0,235,115.75,8,10,0,2,55823.5,0,2,"2726 ALDERWOOD AVENUE,BELLINGHAM,WA,98225",48.7799,-122.5,NA,2025-07-01
505093,ORCHARD PARK HEALTH CARE & REHAB CENTER,4755 SOUTH 48TH,TACOMA,WA,98409,2534754611,260,Pierce,For profit - Limited Liability company,147,125,NA,Medicare and Medicaid,N,4755 SOUTH 48TH STREET OPERATIONS LLC,1970-11-01,GENESIS HEALTHCARE,237,215,2.3,2.3,2.5,3.2,N,NA,N,N,N,Resident,Yes,2,NA,1,NA,5,NA,5,NA,3,NA,4,NA,NA,NA,2.13729,1.00476,0.75978,1.76453,3.90182,3.38584,0.57591,0.06986,49.4,NA,20,NA,2,NA,1.26583,0.91629,2.11027,0.79548,0.621,3.52675,3.11903,2.31977,1.09054,0.82465,4.23497,3.67493,2024-09-09,37,31,9,256,1,0,256,2023-10-27,48,28,28,343,1,0,343,277.75,5,42,NA,2,109577,0,2,"4755 SOUTH 48TH,TACOMA,WA,98409",47.2138,-122.5,NA,2025-07-01
505096,LINDEN POST ACUTE,802 WEST THIRD AVENUE,TOPPENISH,WA,98948,5098653955,380,Yakima,For profit - Corporation,75,67.6,NA,Medicare and Medicaid,N,CARE CENTER TOPPENISH INC.,1968-01-01,PRESTIGE CARE,417,23,2.7,2.7,3.2,3.6,N,NA,N,N,N,Resident,Yes,4,NA,4,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,2.27347,0.41752,0.77125,1.18877,3.46224,3.00935,0.52694,0.02635,32,NA,25,NA,0,NA,1.47847,1.07021,2.46478,0.92911,0.72532,4.11921,3.643,2.11268,0.38799,0.71671,3.21737,2.79651,2024-10-30,12,12,0,60,1,0,60,2023-09-25,12,8,8,56,1,0,56,59,3,2,2,0,0,0,0,"802 WEST THIRD AVENUE,TOPPENISH,WA,98948",46.3732,-120.32,NA,2025-07-01
505098,SHUKSAN REHABILITATION AND HEALTH CARE,1530 JAMES STREET,BELLINGHAM,WA,98225,3607339161,360,Whatcom,For profit - Corporation,52,39,NA,Medicare and Medicaid,N,SOUNDVIEW REHABILITATION AND HEALTH CARE INC,1967-01-01,HYATT FAMILY FACILITIES,276,5,2.4,2.4,3.2,3.4,N,NA,N,N,N,Resident,Yes,2,NA,2,NA,4,NA,2,NA,5,NA,4,NA,NA,NA,2.63492,0.59483,0.88533,1.48016,4.11508,3.80338,0.49547,0.13936,54.8,NA,90,NA,1,NA,1.28933,0.9333,2.14946,0.81025,0.63253,3.59224,3.17695,2.80776,0.63385,0.9434,4.38501,4.05287,2025-05-01,17,16,3,112,1,0,112,2024-05-16,31,13,18,208,1,0,208,136,10,6,2,2,58328.3,1,3,"1530 JAMES STREET,BELLINGHAM,WA,98225",48.7495,-122.47,NA,2025-07-01
505099,SPOKANE VALLEY HEALTH AND REHABILITATION OF CASCAD,EAST 17121 EIGHTH AVENUE,SPOKANE VALLEY,WA,99016,5099246161,310,Spokane,For profit - Corporation,97,82.9,NA,Medicare and Medicaid,N,SPOKANE OF CASCADIA LLC,1967-01-01,CASCADIA HEALTHCARE,118,44,3.1,2.9,2.9,4,Y,NA,N,N,N,Resident,Yes,2,NA,2,NA,3,NA,3,NA,3,NA,2,NA,NA,NA,1.95387,0.78347,0.74477,1.52824,3.48211,2.9636,0.47466,0.06636,68.8,NA,64.3,NA,1,NA,1.364,0.98735,2.27394,0.85718,0.66916,3.80028,3.36093,1.96806,0.78916,0.75018,3.50739,2.98512,2024-08-13,27,19,9,132,1,0,132,2023-04-10,14,8,14,108,1,0,108,126,6,6,0,6,57115.16,0,6,"EAST 17121 EIGHTH AVENUE,SPOKANE VALLEY,WA,99016",47.6433,-117.15,22,2025-07-01
505114,AURORA VALLEY CARE,414 S UNIVERSITY RD,SPOKANE,WA,99206,5099244650,310,Spokane,For profit - Limited Liability company,124,78.7,NA,Medicare and Medicaid,N,"GARDENS ON UNIVERSITY- SPOKANE VALLEY, LLC",1967-01-06,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,Y,N,N,Resident,Yes,1,NA,1,NA,4,NA,4,NA,5,NA,2,NA,NA,NA,1.94923,1.23572,0.38563,1.62135,3.57057,3.06998,0.21303,0.07885,64.9,NA,64.3,NA,0,NA,1.36076,0.98501,2.26854,0.85514,0.66757,3.79126,3.35296,1.96805,1.24765,0.38936,3.60506,3.09963,2024-06-27,35,23,12,180,1,0,180,2023-01-20,44,19,27,300,1,0,300,210,24,25,2,3,162236.75,1,4,"414 S UNIVERSITY RD,SPOKANE,WA,99206",47.6532,-117.26,NA,2025-07-01
505123,BREMERTON TRAILS POST ACUTE,2701 CLARE AVENUE,BREMERTON,WA,98310,3603773951,170,Kitsap,For profit - Limited Liability company,125,82.9,NA,Medicare and Medicaid,N,"BREMERTON HEALTH, LLC",1969-07-01,CALDERA CARE,97,17,2.3,2,2.8,3.7,N,NA,N,N,N,Resident,Yes,1,NA,1,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,2.21453,1.03115,0.58574,1.61689,3.83142,3.17352,0.33457,0.01999,51.7,NA,92.3,NA,1,NA,1.26672,0.91693,2.11177,0.79604,0.62144,3.52924,3.12123,2.40192,1.1184,0.6353,4.15562,3.44205,2024-07-13,33,20,15,208,1,0,208,2023-09-08,35,16,20,441,1,0,441,266.25,14,57,2,2,75656.75,1,3,"2701 CLARE AVENUE,BREMERTON,WA,98310",47.5847,-122.63,NA,2025-07-01
505126,AVALON HEALTH & REHABILITATION CENTER - PASCO,2004 N 22ND AVENUE,PASCO,WA,99301,5095478811,100,Franklin,For profit - Corporation,108,64.4,NA,Medicare and Medicaid,N,AVALON CARE CENTER-PASCO LLC,1974-06-01,AVALON HEALTH CARE,57,15,3.1,2.8,3.8,3.8,N,NA,N,N,N,None,Yes,2,NA,2,NA,4,NA,5,NA,3,NA,3,NA,NA,NA,2.44497,0.81736,0.76754,1.5849,4.02987,3.57235,0.55939,0.04201,52.3,NA,78.9,NA,0,NA,1.51658,1.0978,2.5283,0.95306,0.74401,4.22538,3.73689,2.21496,0.74047,0.69533,3.65076,3.23628,2024-04-23,33,25,8,172,1,0,172,2023-05-17,29,13,16,212,1,0,212,182,6,12,6,3,86138,0,3,"2004 N 22ND AVENUE,PASCO,WA,99301",46.2457,-119.12,NA,2025-07-01
